#  b = [b0:  0.02868000, b1:  0.00080000, b2: -0.02788000]
#  a = [a0:  1.00000000, a1: -2.00000000, a2:  1.00000000]
#  index      real(x)      imag(x)      real(y)      imag(y)        error
     125   0.75982511  -0.65012753   0.46156842   0.88710463  -1.79878616
     126   0.90360183   0.42837334   0.56927013   0.82215053  -0.52248675
     127  -0.02233771   0.99975049   0.61740601   0.78664464   0.68778050
     128  -0.92183310   0.38758713   0.60979891   0.79255617   1.82859051
     129  -0.73002934  -0.68341577   0.54686135   0.83722317   2.90183854
     130   0.32600930  -0.94536656   0.42222905   0.90648919  -2.37361073
     131   0.99610645  -0.08815850   0.39854476   0.91714889  -1.24913979
     132   0.48697707   0.87341475   0.48169228   0.87634045  -0.00604058
     133  -0.59865326   0.80100828   0.50573659   0.86268795   1.17205429
     134  -0.97557634  -0.21966054   0.47014290   0.88259029   2.28171563
     135  -0.19757718  -0.98028731   0.37288970   0.92787570  -2.95835710
     136   0.81432098  -0.58041483   0.38064149   0.92472267  -1.79954445
     137   0.86219674   0.50657356   0.49379647   0.86957753  -0.52314001
     138  -0.11062692   0.99386203   0.54498923   0.83844304   0.68723005
     139  -0.95248646   0.30458093   0.53696615   0.84360379   1.82813454
     140  -0.66675836  -0.74527395   0.47038949   0.88245893   2.90147400
     141   0.40830222  -0.91284680   0.34018260   0.94035941  -2.37388825
     142   1.00000000   0.00024115   0.31572416   0.94885099  -1.24933541
     143   0.40786189   0.91304362   0.40223259   0.91553754  -0.00615702
     144  -0.66711771   0.74495232   0.42745823   0.90403509   1.17201233
     145  -0.95233947  -0.30504030   0.39030439   0.92068589   2.28173923
     146  -0.11014756  -0.99391526   0.28949079   0.95718080  -2.95826936
     147   0.86244094  -0.50615770   0.29754990   0.95470625  -1.79939473
     148   0.81404096   0.58080751   0.41517940   0.90973955  -0.52293599
     149  -0.19804996   0.98019195   0.46896660   0.88321590   0.68748844
     150  -0.97568220   0.21918997   0.46056473   0.88762611   1.82844341
     151  -0.59826684  -0.80129695   0.39086628   0.92044747   2.90182877
     152   0.48739827  -0.87317979   0.25610679   0.96664852  -2.37349248
     153   0.99606383   0.08863892   0.23103401   0.97294569  -1.24890065
     154   0.32555330   0.94552368   0.32017094   0.94735980  -0.00568694
     155  -0.73035890   0.68306357   0.34634429   0.93810749   1.17251861
     156  -0.92164606  -0.38803169   0.30790430   0.95141733   2.28228092
     157  -0.02185552  -0.99976116   0.20430776   0.97890669  -2.95769334
     158   0.90380836  -0.42793748   0.21257728   0.97714424  -1.79879403
     159   0.75951147   0.65049392   0.33372217   0.94267148  -0.52231240
     160  -0.28392234   0.95884728   0.38964927   0.92096335   0.68813306
     161  -0.99123865   0.13208283   0.38091218   0.92461121   1.82910907
     162  -0.52509111  -0.85104603   0.30862102   0.95118511   2.90251350
     163   0.56267816  -0.82667607   0.17034531   0.98538440  -2.37279081
     164   0.98432887   0.17634268   0.14483385   0.98945600  -1.24818158
     165   0.24069573   0.97060061   0.23588203   0.97178167  -0.00495647
     166  -0.78788161   0.61582673   0.26277128   0.96485817   1.17325473
     167  -0.88373643  -0.46798494   0.22331992   0.97474521   2.28302479
     168   0.06660764  -0.99777925   0.11771628   0.99304730  -2.95694590
     169   0.93809921  -0.34636667   0.12610845   0.99201643  -1.79804647
     170   0.69903529   0.71508718   0.24981429   0.96829379  -0.52155906
     171  -0.36757168   0.92999518   0.30742884   0.95157105   0.68888640
     172  -0.99903411   0.04394153   0.29840565   0.95443916   1.82986236
     173  -0.44780409  -0.89413172   0.22406539   0.97457409   2.90326881
     174   0.63355243  -0.77369976   0.08331864   0.99652296  -2.37204123
     175   0.96488690   0.26266572   0.05754088   0.99834317  -1.24743974
     176   0.15395361   0.98807806   0.14978601   0.98871845  -0.00421652
     177  -0.83923548   0.54376817   0.17717303   0.98417974   1.17398906
     178  -0.83890748  -0.54427403   0.13700114   0.99057090   2.28375316
     179   0.15454929  -0.98798507   0.03019001   0.99954420  -2.95622683
     180   0.96504509  -0.26208395   0.03863453   0.99925339  -1.79733312
     181   0.63308591   0.77408153   0.16393276   0.98647153  -0.52085727
     182  -0.44834310   0.89386153   0.22278258   0.97486818   0.68957871
     183  -0.99900740  -0.04454383   0.21353143   0.97693622   1.83054316
     184  -0.36701095  -0.93021661   0.13769828   0.99047422   2.90393615
     185   0.69946629  -0.71466559  -0.00444093   0.99999017  -2.37138319
     186   0.93789023   0.34693220  -0.03029042   0.99954116  -1.24679327
     187   0.06600607   0.99781924   0.06242822   0.99804944  -0.00358525
     188  -0.88401842   0.46745205   0.09009652   0.99593306   1.17460883
     189  -0.78751022  -0.61630160   0.04950343   0.99877393   2.28435779
     190   0.24128085  -0.97045535  -0.05769259   0.99833441  -2.95563173
     191   0.98443496  -0.17574920  -0.04926658   0.99878567  -1.79674959
     192   0.56217963   0.82701516   0.07666243   0.99705708  -0.52028126
